,title,rating,date_of_stay,review
25,"Great place to stay, nice quiet rooms close to beach",50,March 2023,"We stayed at the Courtyard on recommendation of our adult daughter who had recently stayed here and we can see why she loved it. The hotel has amazing gardens and is very well kept . The rooms are clean and modern with the most amazing housekeeping staff who cleaned our room beautifully each day. The breakfasts are amazing with a vast variety of foods, hubby loved the bagels 🥯 The hotel has a daybed area on beach strip where you can sit and enjoy the view . All staff were so professional and friendly. I liked the location as close to the beach but far enough away you don’t get any beach noise and as light sleepers we enjoyed relaxing nights of sleeps. The aqua aerobics was fun and we loved the Balinese night was sensational too!"
26,Next time I will choose again.,50,March 2023,"The service is good. The restaurant provides great food. Very impressive experience, such as the BBQ night on Wednesday, Romantic dinner on the rooftop on Thursday.
The staff are very friendly and helpful. The trip I booked via here was excellent as well, worth the every dollar you spent."
27,"Activities at the Marriott Courtyard, fabulous, fun and free! We had a great time and met so many wonderful people!we wi",50,March 2023,"What a great time doing water aerobics every day! Instructors such fun especially Widi and Surya! So funny and enjoyable!
11am in the pool bar, get there! Also loved Bingo! Hysterical! Wonderful staff!
All free just fun!
Join in the services they offer and meet new people from all over the world!"
28,Very comfortable Stay,50,March 2023,"Me and 3 friends have been here for 2 weeks. The rooms were very comfortable. We felt very secure. The service, specially from Chinta, Trisna and Gus was perfekt. Chinta accompanied us from the beginning till the end. We had a couple nice conversations that made the vibe perfectly.
The food was extensive. The drinks as well. When we arrived, we were received like the royal family on the first day. We’d like to coma back again. We also had a private BBQ dinner for about 1.800.000 SGD pp. Trisna led the dinner the whole time. He was extraordinary friendly and did everything like expected and beyond."
29,Stay at Seminyak,50,March 2023,"We visited the Seminyak Beach and parked ourselves at the Courtyard Beach side. Surya was very helpful and friendly! We enjoyed with him and he has amazing English. While it was very hot, he offered us some water and drinks and is a very happy chap!"
30,"Great hotel, I love it!",50,March 2023,"This is my first experience to stay in Courtyard for honeymoon. Great service and value, staff are friendly and great service from Meylani (trainee) when we met her at breakfast time. So helpful, and kind. I surely would come back again to this hotel! Bravo 👏"
31,Reviews,50,March 2023,"The hotel service is awesome, I met Meylani (trainee) on 4th march at breakfast time. She is so helpful, friendly, and so kind always smile to the guest. Very recommended to stay at this hotel! 🤩 love it!"
32,The best and i love it..,50,March 2023,Yeayyy always happy to comeback for stay at this homey marriott property.. Who girls suprise me with warm welcome back.. Ms Iva at luggage check at entrance u make me Wow... Ms Eka and team best for do check in time.. Ms Ayu at pool bar... Ms Chinta and Seminyak kitchen team.. Terima kasih..Mr Penyu and Mr Herdi best the Duo gentleman at Concierge always charming assist helping..they love busy..Will come back for sure.. Please dont be bored to see me around..
33,Overwellming Balinese culture plus hospitality,50,March 2023,"My wife & I stayed there for our wedding anniversary for the first time.
I personaly have worked in the hospitality industry for many years& I could not fault the amazing service & hospitality we experienced. Words cannot describe . Simply the best of the best. Will definitely stay there again.
A very big thank you to the entire managment & staff🙏👌"
34,Great stay with amazing service,50,January 2023,"AMAZING SERVICE.
My husband and stayed here for a week and we could not recommend it more. Especially as a bonvoy member, the hotel really makes you feel special. I want to start by thanking Cica for a wonderful check in welcome, she really made the start of the holiday wonderful! Eka was also wonderful, her service and hospitality was great! We had a few issues with our room ( nothing big ) and they were able to accommodate and fix the matter swiftly. Special shout-out to Bobby the F&B manager who made our dinning experiences great. All the staff at the courtyard Marriott really so go above and beyond for their guests and would recommend it highly.

My only suggestion is the consistency of the drinks across the bars. My husband and I enjoyed the delicious bloody Mary’s and aperol tonics by the pool bar- however when we ordered the same at the seminyak kitchen ( for the dinner dinning) the drinks were completely different. Obviously made at different bars and with different bar staff. We actually couldn’t finish them as they were poorly mixed and the ratios seemed off. Only suggestion would be to ensure the consistency of drink standards across the hotel. Pool bar drinks are 100!

Can’t wait to come back at our next Bali stay."
35,"Great value, service and location.",50,February 2023,"Great service and value. Staff are friendly, great service from Chinta!. The rooms are clean and tidy. I've stayed here a few times now as it's located not far from Eat Street. There are good food options if you just want to eat and laze by the pool. There is a spa and gym as well as a breakfast buffet and kids play area."
36,Water aerobics at 11,50,March 2023,Went to Bali with mum and wanted somewhere easy and considerate…. Done! The staff have been lovely. did water aerobics with Surya today he was very friendly and kept us giggling with an entertaining water dance routine. Fun!
37,Best Staff & Hotel Ever,50,January 2023,"This was our 4th time staying at this hotel, safe to say it’s still as good as ever! The most welcoming and friendly staff ever (shoutout to Tek & Ari specially) the cleanliness is unbelievable and the food is amazing!! We wouldn’t pick any other place to stay when visiting Seminyak, keep up the amazing work. See you again soon 👌"
38,VERY GOOD HOTEL TO STAY,40,December 2022,Hi all stayed there during the new year of December 2022 with my family and brother from AUS.The hotel is very good.The check-in was very smooth and the rooms are also nice . The service is excellent with the ever-smiling face of staff members. The food spread was very good but they need to add more Asian food to the menu keeping in view the flow of Indian tourists. The new year party was very average though. The pool was very good with swim in bar....
39,Amazing hotel,50,February 2023,"Such an amazing stay! Staff are consistently friendly and helpful, pool area is to die for and so convenient being the central part of the hotel. Suryya & Yudi we’re such fun staff who worked at the pool, got us to play games for competition to win a free Bintang. Surrya hosted water aerobics and it was so fun and such a laugh! Highly reccomend this hotel!"
40,Best hotel,50,February 2023,"The best atmosphere and absolutely love the aerobics everyday at 11am with Surya !!!! Love the energy ! All staff have been so accommodating and very friendly always with a smile on their faces!!
We can’t wait to come back :)"
41,Amazing stay!,50,February 2023,We had so much fun and the service from all staff was outstanding. Mr. Angga at the taco truck was very friendly and he does serve the best tacos and drinks in Seminyak! Highly recommended:) we’ll definitely be back :)
42,Outstanding,50,January 2023,"We have just completed our 9 night stay at Courtyard Marriott! Everything has been just amazing, the staff are absolutely all amazing and a very special shout out to the pool bar staff, Penny, Ayu, Alit, Mob, Ketut and Debu each and everyone of you looked after my family and went the extra mile to make our stay so special.

To the Courtyard Marriott Staff, you people make this place great! We can’t wait to come back and stay again soon."
43,Best customer services!,50,January 2023,"We spent our CNY holiday at Courtyard hotel Seminyak with my family and our 7 months old baby, and we were all amazed by the quality of the customer services! Truly outstanding! I've been travelling a lot for holidays and work, staying in numerous 5 stars hotels, and it is probably the best service i ever received. The team will do their maximum to assist you, and if something is not up to your expectation, they will find a way to make it up to you. I want to give a special compliment to Eka, the loyalty officer, who is a true gem, always with a smile and professional attitude. I can't thank her enough."
44,Zanti Spa Arik and Gym Yudi,50,January 2023,"Good spa experience and massage are the best
Warm welcoming from yudi and arik in spa and gym
Will come back again when visit Bali
All friendly people in Bali
Recommend place to visit
Terimakasih Semua"
45,Review,50,January 2023,"Surya was the best attendant that I’ve ever seen. Not only was he attentive, but he was warm and joyful at all times. His boxing lessons are a must-try and he clearly deserves a raise!!

Air was also amazing and was very cheerful!!"
46,Good hospitality,50,January 2023,"I am a loyal guest and member at Courtyard Seminyak and Bonvoy. why do i always choose courtyard seminyak? In Bali I have never found service friendliness in all parts of the hotel, from the start of check-in we will be greeted warmly by Bli Wahyu, Pak Ramu, Mbok Santi, Pricilia and Eka, the cleanliness of the rooms is quite well maintained. especially you will find warmth from their service in the Seminyak Kitchen area, they have a good chef with delicious variations and tastes, you will be warmly welcomed by the service of Pak Bobby, Mbok Ayu, Mbok Indah, and we will meet again with Eka. but most importantly almost all workers in the courtyard are trained to provide friendly service."
47,Lovely place to stay,50,January 2023,Beautiful place to stay room superd i love it the view after 2 days explored Bali when i came back i was surprise by your room attendent Buda & Wisnu decorated my room towel so beautiful after so tired whole day it make me smile. Thank you Courtyard Seminyak make my day i guessed i had to extend another night hahahah.
48,Vacation with family,50,January 2023,"Love our 7 days at Courtyard! The staffs were helpful and polite. The breakfast was fabulous, lots of choices. We love our hotel driver (Komang) who always ready 24/7 to drive us around. The spa was fantastic. Overall it was a great and memorable vacation. One of the best courtyard marriott so far!"
49,"Great location, great rooms, value for money",40,January 2023,"Got a 2 bedroom pool view suite .

Simple review,

1.Great staff service 9/10
2.Food in resturant better than some others in surrounding 9/10
3. Rooms 8/10
4. Location 10/10
Worth the price and location. Would recommend for couples or family's."
50,Happy Honeymoon,50,January 2023,"We came to Bali for our honeymoon and had a great time. The Courtyard Marriott was a wonderful place to stay. Close to everything and all of the facilities were great. We loved the pool and swim up bar in the evenings. The included breakfast had a great variety of international foods and we could try something new everyday. The spa was beautiful and my two massages were relaxing, just as they should be. The rooms were cosy but comfortable with a great bed and pillows and a nice sized balcony over looking the pool. Most of all we loved the staff and the warmth of the people. Special shout out to our favourite waiter Arya and to Eka. We would 100% stay here again."
51,Second Time Was Even Better!,50,December 2022,"This was the second time we have stayed here and this time was even better than the first!

The hotel is very clean as are the rooms (big too). We like the area for walking around (some good restaurants and massages close by) as well as being a short taxi ride to different areas of interest.

But what REALLY makes this place amazing to us are the staff! First there was Eka who not only remembered us from our previous trip three years ago, but also that we had to rush home for a family emergency! That was so shocking that she actually cared so much to remember. We saw her every morning at breakfast and shared stories of each others lives and adventures. Her professionalism and sincerity was off the charts. She is absolutely the face of that hotel!

Along with her, we have to also give to shout out to Pebri and Anini. During our stay, we wanted for nothing as these two energetic people where always there with smiles, quick jokes and amazing service! We left our stay there feeling like we had new friends in Bali. Thank you ladies!

All in all, it's a really good hotel to stay in and it earns many extra points because of all the wonderful people that work there."
52,Great stay!,50,January 2023,"Had a great experience at this hotel. Rooms was immaculate and shower was out of this world! What really made it was the staff, they couldn't do enough. Constantly smiling and happy and always ready to help with everything. Special shout out to Surya, Yudi, Dika, Alex,Prana, Agung & Adi. Wish I could remember all the staff's names. Definitely would recommend a stay here."
53,As good as JW or Ritz in the West,50,January 2023,"Fantastically run hotel - with super friendly and helpful staff, modern and clean rooms, and a spectacularly delicious breakfast buffet. The location is also 5 minutes walk away from a bustling beach with lots of cool beachfront restaurants.

I’m a titanium level Marriott member and this is one of the best hotels I’ve been to in the portfolio outside of their St. Regis hotels and some Asian W Hotels. This is a great alternative to W Seminyak for those who don’t want to splurge."
54,Great little hotel in Seminyak,40,December 2022,"We had a good stay at this hotel. Unfortunately for us, this was our first hotel of our 3 week holiday and when we went down to have a swim on our first hour after arrival my son slipped on the step by the pool and injured his head. Fortunately there was some kind of medical conference happening at the hotel and so we had access to doctors and nurses who suggested we head to the hospital. The hotel gave us free transport to the hospital which was very kind. Long story short, my son was fine just a nasty accident and the hotel was very helpful. The manager was in contact straight away and staff kept in touch throughout our stay to make sure he was ok. Manager asked to meet so we could show him where my son slipped and he assured us this would be fixed. Lovely staff, good breakfast, good pool area and great location.. Loved our adjoining rooms. Would definately stay again."
55,Great stay in Bali,50,January 2023,"Great location, nice facilities and excellent staff!!! We landed in Bali for some good time off and we are super happy we chose this establishment. Near the beach, but with plenty of choices for restaurants, shopping and even clubbing - we were never short of things to do. A great shout out to the excellent staff. In particular Alfi at the reception, who welcomed us and took care of all our queries from our arrival onwards. Gus Dek at the pool bar (it is a swim up bar for the lovers of the genre) and all the guys there made sure we were properly hydrated throughout the day. Finally the Seminyak kitchen restaurant has a nice spread for breakfast and very kind waiters - thank you Trisna! All in all a great stay.

One room tip: get the inner view rooms over the pool. The streets can be noisy, plus you are protected from too much wind."
56,"Amazing location, INCREDIBLE team",50,December 2022,"Everything great you would expect from a Marriott hotel. Clean rooms, great service, awesome food, and tons of facilities for the kids.
However, the team here are the stars of the show. The BEST service you could wish for. I stupidly left my phone in a grab car the day before we left. Within 5 minutes security were on the CCTV looking for the number plate, Ari the concierge was helping me navigate Balinese websites, Tony the manager immediately came down to see if he could help and started a service ticket on the phone with Grab. Once we located the phone via Find My Samsung Tony called Ari and he immediately hopped on his bike and drove me to find it! We spent 1.5 hours driving around the city together looking in cars and asking locals (who were incredibly helpful) with no luck, but at least I returned with a friend rather than empty handed. The next day Tony had done a full handover to the new day manager and Nyssa on the desk was fully aware of the situation and still following up with Grab. By midday the driver returned with my phone! Every security guard I've seen since has asked if my phone was returned and they were all escatic to hear the good news. Amazing performance and communication all round.
Thank you so much Courtyard Seminyak. I'll be back!"
57,Comfortable stay in Seminyak,50,October 2022,"Located at a good location in Seminyak, walking distance to the beach with a convenience store just around the corner. Breakfast buffet is extensive and delicious. More importantly, my Bonvoy platinum elite status was recognized and given 4pm late checkout."
58,A memorable stay,50,December 2022,"Once Again, Courtyard did not disappoint. This was our 6th visit and first post lockdown and its was as welcoming and great as even. We were welcomed like family. The weather in Bali was a bit of a damper so did not get to use the pool as much as we would have liked to. The breakfast spread was great and room facilities were great. Location of the Marriot is very good and they still provide a complimentary shuttle service to Seminyak Street, Eat street and the Beach. I could rave on about all the good things forever. The christmas buffet dinner was great too. Thank you to the team for a great stay.
All the team from Room cleaners to the management are very happy to help and a pleasure to deal with. Some names that stand out are Hardi and his team (Ari, Arya, Sopari among others) who are always will to go the extra mile arranging transport, resturant bookings etc. Penny, Ayu and all the staff at the pool bar for their great service.
Devi, the barista, what great service from her. She knew my morning coffee order and would be more then happy to make it the minute she saw me. Thank you. Eka , the customer relations officer would go out off her way to ensure we were comfortable in any manner. Laurens , the general manager who we met for the first time was easy to approach and had some great chats with us. Ramu and Wahyu, it was a pleasure to meet you and deal with you .

All in all , thank you team Marriot. We will be back in the next few months."
59,Memorable family stay at the Marriott Courtyard,50,December 2022,"Excellent and memorable family stay at the hotel during Xmas 2022. Very polite and helping staff, excellent facilities and awesome location. We had booked a family room for the 4of us. The hotel staff goes out of the way to make your stay comfortable"
60,Nicest Courtyard I have stayed it.,50,December 2022,"A short but pleasant stay at this wonderful well located hotel in Seminyak. Was fortunate to be welcomed, checked in and also checked out by Eka, the guest relations manager. Initially surprised that breakfast is not complimentary despite my Titanium status but Eka was again very gracious to extend an imitation as she was keen for me not to miss the wonderful spread. The breakfast did not disappoint.
I was also upgraded to pool facing room on the far end of the building close to the kids club. I was initially concerned it was going to be noisy but but it turned out to be very quiet. The whole compound was well maintained, clean. The entire staff was always smiling and helpful. Such a delight. Keen to return for a longer stay."
61,"Amazing pool, Bingo!",50,December 2022,"Next to pool bar, shaded area, nice vibe with good music playing. Amazing staff Surya Awidi at the pool bar. Very friendly and professional. The ambience is amazing. We had a ball playing Bingo!

Pool is also amazing, split into 2 ie one with swim up bar and other more relaxed and low key."
62,Best resort in the heart of Seminyak,50,December 2022,Perfect location close to shops and restaurants. The resort is amazing. Great facilities and friendly staff. Highly recommend to anyone wanting a wonderful holiday in Seminyak. I am a returning guest and every time I have had a great experience.
63,A very happy guest !!,50,December 2022,"My second time here and I’m never disappointed. The resort is perfect ! The facilities, rooms and location are fantastic. The staff are amazing - friendly and helpful and go above and beyond to ensure the guests are having a wonderful time. I will return again! My husband came to celebrate his birthday and our wedding anniversary and the staff made it even more memorable for us. Thank you !"
64,This is probably the best Courtyard in the world,50,December 2022,I couldn't think of a single fault or deficiency of this hotel during my one week stay. The spa in on site and excellent as well and the food and dining options. It's a 10 minute walk to the beach with a thriving nightlife scene.
65,Failed wedding anniversary surprise😂,10,December 2022,"I booked the room for celebrating our wedding anniversary through my travel agent, and already put some detail about our wedding anniversary in advanced , hope for some little surprise no matter what the surprise will be, because as a guest we love some little surprise, attention to detail and caring feeling we received from the hotel.

Long story short we checked in at 8 dec 2022, and I repeat our concern that we were celebrating our wedding anniversary to the front office officer, I though that all is good 😊

Turns out we have nothing in a room just standard plain bedsheets, not even greeting card or some little cake or fresh fruit 😂

I complained to my agent, and my agent show me the proved that already put some detail on the booking system, then I emailed the marriot representative to inform this condition, surprisingly the answer was shocking😂 the representative said that Courtyard isnt full service hotel like the other Marriott chains hotel we've been there before (come on, even the 3 star hotel could provide the best service they could, for just little greeting card with some fresh cut fruits it's make the guest feel special for sure )

Despite this problem, overall this hotel gave decent service as the hotel should be. Thx"
